iter	RMSE
0	4014.821593
1	3778.716352
2	3565.145158
3	3376.438419
4	3207.451074
5	3057.222989
6	2927.803699
7	2809.885139
8	2705.569131
9	2616.973328
10	2535.977596
11	2465.678582
12	2402.240456
13	2346.529642
14	2297.727709
15	2253.488511
16	2211.42562
17	2178.612771
18	2145.886425
19	2115.773679
20	2085.440842
21	2061.82134
22	2041.285995
23	2016.334234
24	1998.961363
25	1976.589184
26	1958.690839
27	1945.734007
28	1930.922416
29	1916.95803
30	1906.692757
31	1896.684875
32	1887.981429
33	1878.913589
34	1870.448193
35	1862.562902
36	1855.431472
37	1845.757949
38	1837.24809
39	1829.774105
40	1824.377347
41	1816.530114
42	1811.441179
43	1805.921592
44	1801.771846
45	1795.397859
46	1791.410998
47	1785.94605
48	1778.618695
49	1774.021696
50	1770.061018
51	1766.613475
52	1762.40568
53	1758.962596
54	1756.527808
55	1752.569318
56	1748.251433
57	1746.22204
58	1742.810078
59	1740.573735
60	1736.900436
61	1732.402741
62	1730.408987
63	1727.32134
64	1724.787378
65	1721.280519
66	1718.124788
67	1714.972479
68	1712.673326
69	1710.26034
70	1706.705274
71	1704.327737
72	1702.780352
73	1698.433961
74	1695.155529
75	1693.530716
76	1691.173993
77	1689.734014
78	1687.789525
79	1684.133972
80	1682.260001
81	1680.850753
82	1678.605626
83	1676.066836
84	1674.598899
85	1672.735873
86	1671.677802
87	1670.306726
88	1668.246241
89	1666.299918
90	1665.298504
91	1663.430185
92	1661.792215
93	1659.647941
94	1658.238203
95	1656.089331
96	1654.301106
97	1652.993675
98	1650.833292
99	1649.57263
100	1648.635834
101	1647.852144
102	1646.201417
103	1644.811954
104	1643.844732
105	1642.714693
106	1641.199321
107	1640.518006
108	1638.563409
109	1636.525881
110	1634.854653
111	1632.957028
112	1632.097789
113	1631.338541
114	1629.613068
115	1628.131862
116	1627.148164
117	1626.018688
118	1624.550289
119	1623.241434
120	1622.002859
121	1620.28409
122	1618.568593
123	1616.894145
124	1615.769797
125	1614.464742
126	1613.388269
127	1612.244042
128	1611.512608
129	1611.007789
130	1609.892519
131	1608.992555
132	1608.434084
133	1606.794192
134	1606.046722
135	1605.193429
136	1603.610569
