iter	Passed	Remaining
0	171	171605
1	183	91807
2	196	65138
3	207	51672
4	219	43602
5	230	38191
6	243	34499
7	257	31875
8	268	29574
9	280	27744
10	293	26384
11	305	25122
12	317	24130
13	330	23251
14	343	22532
15	355	21860
16	367	21243
17	378	20653
18	390	20172
19	402	19742
20	414	19341
21	425	18921
22	436	18524
23	448	18220
24	461	17987
25	472	17698
26	483	17411
27	495	17210
28	507	16979
29	519	16782
30	529	16564
31	540	16359
32	552	16189
33	564	16032
34	574	15849
35	584	15658
36	597	15539
37	610	15444
38	619	15273
39	629	15119
40	640	14978
41	652	14873
42	664	14792
43	677	14716
44	689	14629
45	700	14534
46	713	14459
47	725	14388
48	736	14286
49	747	14205
50	759	14135
51	770	14044
52	780	13948
53	790	13847
54	800	13762
55	811	13682
56	824	13648
57	837	13594
58	847	13513
59	858	13456
60	869	13388
61	881	13340
62	892	13270
63	906	13259
64	917	13200
65	929	13150
66	939	13082
67	950	13033
68	963	12997
69	974	12944
70	985	12898
71	997	12854
72	1007	12794
73	1018	12745
74	1031	12727
75	1041	12666
76	1052	12620
77	1064	12581
78	1076	12551
79	1088	12513
80	1099	12472
81	1108	12411
82	1119	12366
83	1129	12316
84	1140	12278
85	1150	12223
86	1161	12183
87	1172	12152
88	1184	12128
89	1195	12092
90	1207	12059
91	1218	12030
92	1229	11989
93	1241	11968
94	1255	11962
95	1266	11929
96	1277	11896
97	1288	11858
98	1298	11822
99	1309	11785
100	1319	11742
101	1332	11730
102	1343	11703
103	1355	11681
104	1366	11646
105	1376	11606
106	1387	11580
107	1398	11552
108	1410	11529
109	1421	11504
110	1432	11469
111	1442	11435
112	1454	11415
113	1470	11425
114	1482	11405
115	1491	11368
116	1503	11347
117	1512	11308
118	1522	11273
119	1532	11237
120	1543	11210
121	1553	11176
122	1566	11165
123	1578	11150
124	1588	11121
125	1598	11090
126	1611	11076
127	1622	11054
128	1632	11021
129	1642	10993
130	1652	10960
131	1662	10935
132	1676	10927
133	1685	10890
134	1697	10873
135	1706	10840
136	1715	10808
137	1726	10784
138	1737	10760
139	1747	10737
140	1758	10715
141	1772	10710
142	1782	10680
143	1792	10657
144	1802	10626
145	1812	10602
146	1823	10578
147	1836	10570
148	1849	10562
149	1863	10560
150	1874	10541
151	1886	10522
152	1897	10505
153	1907	10477
154	1919	10462
155	1930	10445
156	1940	10419
157	1949	10390
158	1958	10360
159	1968	10334
160	1978	10311
161	1987	10282
162	2000	10271
163	2011	10251
164	2022	10237
165	2035	10225
166	2047	10212
167	2058	10194
168	2071	10183
169	2082	10166
170	2093	10147
171	2103	10127
172	2113	10104
173	2123	10081
174	2133	10059
175	2143	10036
176	2154	10016
177	2165	9999
178	2174	9973
179	2185	9956
180	2196	9939
181	2206	9918
182	2218	9906
183	2228	9884
184	2240	9869
185	2251	9853
186	2260	9828
187	2270	9805
188	2281	9787
189	2291	9768
190	2302	9754
191	2315	9743
192	2327	9731
193	2337	9711
194	2350	9702
195	2362	9689
196	2373	9676
197	2385	9661
198	2397	9650
199	2410	9643
200	2421	9626
201	2431	9607
202	2442	9589
203	2454	9577
204	2464	9557
205	2474	9537
206	2486	9525
207	2498	9512
208	2510	9500
209	2520	9481
210	2531	9465
211	2542	9451
212	2551	9429
213	2562	9411
214	2572	9393
215	2582	9375
216	2593	9359
217	2605	9346
218	2616	9330
219	2629	9324
220	2642	9313
221	2654	9302
222	2664	9283
223	2677	9274
224	2687	9255
225	2697	9238
226	2708	9223
227	2719	9209
228	2731	9196
229	2743	9184
230	2755	9174
231	2766	9156
232	2778	9145
233	2790	9134
